q1,q2,edgeNum,pathwayNumber,ShortestPath,RunningTime
cpd:C00002,cpd:C00106,4,2,"[(cpd:C00002 : cpd:C00046)- (cpd:C00046 : cpd:C00015)- (cpd:C00015 : cpd:C00105)- (cpd:C00105 : cpd:C00106)]",0.624746,
cpd:C00106,cpd:C00002,11,8,"[(cpd:C00106 : cpd:C20231)- (cpd:C20231 : cpd:C20249)- (cpd:C20249 : cpd:C20253)- (cpd:C20253 : cpd:C00222)- (cpd:C00222 : cpd:C00024)- (cpd:C00024 : cpd:C00022)- (cpd:C00022 : cpd:C00593)- (cpd:C00593 : cpd:C00094)- (cpd:C00094 : cpd:C00224)- (cpd:C00224 : cpd:C01260)- (cpd:C01260 : cpd:C00002)]",1.465921,
cpd:C00106,cpd:C00002,11,8,"[(cpd:C00106 : cpd:C20231)- (cpd:C20231 : cpd:C20249)- (cpd:C20249 : cpd:C20253)- (cpd:C20253 : cpd:C00222)- (cpd:C00222 : cpd:C00024)- (cpd:C00024 : cpd:C00022)- (cpd:C00022 : cpd:C00593)- (cpd:C00593 : cpd:C00094)- (cpd:C00094 : cpd:C00224)- (cpd:C00224 : cpd:C01260)- (cpd:C01260 : cpd:C00002)]",1.693953,
cpd:C00002,cpd:C00106,4,2,"[(cpd:C00002 : cpd:C00046)- (cpd:C00046 : cpd:C00015)- (cpd:C00015 : cpd:C00105)- (cpd:C00105 : cpd:C00106)]",0.668924,
cpd:C09818,path:ko00250,11,6,"[(cpd:C09818 : cpd:C09819)- (cpd:C09819 : cpd:C09820)- (cpd:C09820 : cpd:C00091)- (cpd:C00091 : cpd:C00026)- (cpd:C00026 : cpd:C00025)- (cpd:C00025 : cpd:C00064)- (cpd:C00064 : ko:K04345)- (ko:K04345 : undefinedpath:ko04922)- (undefinedpath:ko04922 : ko:K01596)- (ko:K01596 : ko:K00116)- (ko:K00116 : path:ko00250)]",2.178577,
path:ko00250,cpd:C09818,10,6,"[(path:ko00250 : ko:K01610)- (ko:K01610 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : cpd:C00022)- (cpd:C00022 : cpd:C00024)- (cpd:C00024 : cpd:C00149)- (cpd:C00149 : cpd:C00048)- (cpd:C00048 : cpd:C00026)- (cpd:C00026 : cpd:C00091)- (cpd:C00091 : cpd:C09817)- (cpd:C09817 : cpd:C09818)]",15.689148,
ko:K04432,ko:K00539,11,8,"[(ko:K04432 : ko:K04441)- (ko:K04441 : ko:K07201 ko:K09408 ko:K12358 ko:K17847)- (ko:K07201 ko:K09408 ko:K12358 ko:K17847 : ko:K01596)- (ko:K01596 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00158)- (ko:K00158 : ko:K01512)- (ko:K01512 : ko:K07824)- (ko:K07824 : ko:K05549 ko:K05550 ko:K05784)- (ko:K05549 ko:K05550 ko:K05784 : ko:K05783)- (ko:K05783 : ko:K00446 ko:K07104)- (ko:K00446 ko:K07104 : ko:K00539)]",15.482089,
ko:K00539,ko:K04432,16,12,"[(ko:K00539 : path:ko00362)- (path:ko00362 : ko:K00632)- (ko:K00632 : path:ko00620)- (path:ko00620 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K00911)- (ko:K00911 : cpd:C00076)- (cpd:C00076 : ko:K02677)- (ko:K02677 : ko:K04371)- (ko:K04371 : ko:K03156)- (ko:K03156 : ko:K03158 ko:K05141)- (ko:K03158 ko:K05141 : ko:K02308)- (ko:K02308 : ko:K04426)- (ko:K04426 : ko:K04432)]",8.311348,
ko:K00539,ko:K04432,16,12,"[(ko:K00539 : path:ko00362)- (path:ko00362 : ko:K00632)- (ko:K00632 : path:ko00620)- (path:ko00620 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K00911)- (ko:K00911 : cpd:C00076)- (cpd:C00076 : ko:K02677)- (ko:K02677 : ko:K04371)- (ko:K04371 : ko:K03156)- (ko:K03156 : ko:K03158 ko:K05141)- (ko:K03158 ko:K05141 : ko:K02308)- (ko:K02308 : ko:K04426)- (ko:K04426 : ko:K04432)]",11.315482,
ko:K04432,ko:K00539,11,8,"[(ko:K04432 : ko:K04441)- (ko:K04441 : ko:K07201 ko:K09408 ko:K12358 ko:K17847)- (ko:K07201 ko:K09408 ko:K12358 ko:K17847 : ko:K01596)- (ko:K01596 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00158)- (ko:K00158 : ko:K01512)- (ko:K01512 : ko:K07824)- (ko:K07824 : ko:K05549 ko:K05550 ko:K05784)- (ko:K05549 ko:K05550 ko:K05784 : ko:K05783)- (ko:K05783 : ko:K00446 ko:K07104)- (ko:K00446 ko:K07104 : ko:K00539)]",10.649235,
ko:K00394 ko:K00395,cpd:C06006,6,6,"[(ko:K00394 ko:K00395 : ko:K11180 ko:K11181)- (ko:K11180 ko:K11181 : ko:K00169 ko:K00170 ko:K00172 ko:K00171)- (ko:K00169 ko:K00170 ko:K00172 ko:K00171 : ko:K00016)- (ko:K00016 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : cpd:C00022)- (cpd:C00022 : cpd:C06006)]",5.409405,
Reading xml time(miliseconds): ,1474.993663,
JVM memory: ,29.580001831054688,
